name,value,category
intlcal_get_day_of_week_type,,function
intlcal_get_first_day_of_week,,function
intlcal_get_least_maximum,,function
intlcal_get_greatest_minimum,,function
intlcal_get_locale,,function
intlcal_get_maximum,,function
intlcal_get_minimal_days_in_first_week,,function
intlcal_set_minimal_days_in_first_week,,function
intlcal_get_minimum,,function
intlcal_get_time_zone,,function
intlcal_get_type,,function
intlcal_get_weekend_transition,,function
intlcal_in_daylight_time,,function
intlcal_is_lenient,,function
intlcal_is_set,,function
intlcal_is_equivalent_to,,function
intlcal_is_weekend,,function
intlcal_set_first_day_of_week,,function
intlcal_set_lenient,,function
intlcal_get_repeated_wall_time_option,,function
intlcal_equals,,function
intlcal_get_skipped_wall_time_option,,function
intlcal_set_repeated_wall_time_option,,function
intlcal_set_skipped_wall_time_option,,function
intlcal_from_date_time,,function
intlcal_to_date_time,,function
intlcal_get_error_code,,function
intlcal_get_error_message,,function
intlgregcal_create_instance,,function
intlgregcal_set_gregorian_change,,function
intlgregcal_get_gregorian_change,,function
intlgregcal_is_leap_year,,function
collator_create,,function
collator_compare,,function
collator_get_attribute,,function
collator_set_attribute,,function
collator_get_strength,,function
collator_set_strength,,function
collator_sort,,function
collator_sort_with_sort_keys,,function
collator_asort,,function
collator_get_locale,,function
collator_get_error_code,,function
collator_get_error_message,,function
collator_get_sort_key,,function
intl_get_error_code,,function
intl_get_error_message,,function
intl_is_failure,,function
intl_error_name,,function
datefmt_create,,function
datefmt_get_datetype,,function
datefmt_get_timetype,,function
datefmt_get_calendar,,function
datefmt_set_calendar,,function
datefmt_get_timezone_id,,function
datefmt_get_calendar_object,,function
datefmt_get_timezone,,function
datefmt_set_timezone,,function
datefmt_set_pattern,,function
datefmt_get_pattern,,function
datefmt_get_locale,,function
datefmt_set_lenient,,function
datefmt_is_lenient,,function
datefmt_format,,function
datefmt_format_object,,function
datefmt_parse,,function
datefmt_localtime,,function
datefmt_get_error_code,,function
datefmt_get_error_message,,function
numfmt_create,,function
numfmt_format,,function
numfmt_parse,,function
numfmt_format_currency,,function
numfmt_parse_currency,,function
numfmt_set_attribute,,function
numfmt_get_attribute,,function
numfmt_set_text_attribute,,function
numfmt_get_text_attribute,,function
numfmt_set_symbol,,function
numfmt_get_symbol,,function
numfmt_set_pattern,,function
numfmt_get_pattern,,function
numfmt_get_locale,,function
numfmt_get_error_code,,function
numfmt_get_error_message,,function
grapheme_strlen,,function
grapheme_strpos,,function
grapheme_stripos,,function
grapheme_strrpos,,function
grapheme_strripos,,function
grapheme_substr,,function
grapheme_strstr,,function
grapheme_stristr,,function
grapheme_str_split,,function
grapheme_extract,,function
idn_to_ascii,,function
idn_to_utf8,,function
locale_get_default,,function
locale_set_default,,function
locale_get_primary_language,,function
locale_get_script,,function
locale_get_region,,function
locale_get_keywords,,function
locale_get_display_script,,function
locale_get_display_region,,function
locale_get_display_name,,function
locale_get_display_language,,function
locale_get_display_variant,,function
locale_compose,,function
locale_parse,,function
locale_get_all_variants,,function
locale_filter_matches,,function
locale_canonicalize,,function
locale_lookup,,function
locale_accept_from_http,,function
msgfmt_create,,function
msgfmt_format,,function
msgfmt_format_message,,function
msgfmt_parse,,function
msgfmt_parse_message,,function
msgfmt_set_pattern,,function
msgfmt_get_pattern,,function
msgfmt_get_locale,,function
msgfmt_get_error_code,,function
msgfmt_get_error_message,,function
normalizer_normalize,,function
normalizer_is_normalized,,function
normalizer_get_raw_decomposition,,function
resourcebundle_create,,function
resourcebundle_get,,function
resourcebundle_count,,function
resourcebundle_locales,,function
resourcebundle_get_error_code,,function
resourcebundle_get_error_message,,function
intltz_count_equivalent_ids,,function
intltz_create_default,,function
intltz_create_enumeration,,function
intltz_create_time_zone,,function
intltz_create_time_zone_id_enumeration,,function
intltz_from_date_time_zone,,function
intltz_get_canonical_id,,function
intltz_get_display_name,,function
intltz_get_dst_savings,,function
intltz_get_equivalent_id,,function
intltz_get_error_code,,function
intltz_get_error_message,,function
intltz_get_gmt,,function
intltz_get_id,,function
intltz_get_offset,,function
intltz_get_raw_offset,,function
intltz_get_region,,function
intltz_get_tz_data_version,,function
intltz_get_unknown,,function
intltz_get_windows_id,,function
intltz_get_id_for_windows_id,,function
intltz_has_same_rules,,function
intltz_to_date_time_zone,,function
intltz_use_daylight_time,,function
intltz_get_iana_id,,function
transliterator_create,,function
transliterator_create_from_rules,,function
transliterator_list_ids,,function
transliterator_create_inverse,,function
transliterator_transliterate,,function
transliterator_get_error_code,,function
transliterator_get_error_message,,function
json_encode,,function
json_decode,,function
json_validate,,function
json_last_error,,function
json_last_error_msg,,function
ldap_connect,,function
ldap_unbind,,function
ldap_close,,function
ldap_bind,,function
ldap_bind_ext,,function
ldap_sasl_bind,,function
ldap_read,,function
ldap_list,,function
ldap_search,,function
ldap_free_result,,function
ldap_count_entries,,function
ldap_first_entry,,function
ldap_next_entry,,function
ldap_get_entries,,function
ldap_first_attribute,,function
ldap_next_attribute,,function
ldap_get_attributes,,function
ldap_get_values_len,,function
ldap_get_values,,function
ldap_get_dn,,function
ldap_explode_dn,,function
ldap_dn2ufn,,function
ldap_add,,function
ldap_add_ext,,function
ldap_delete,,function
ldap_delete_ext,,function
ldap_modify_batch,,function
ldap_mod_add,,function
ldap_mod_add_ext,,function
ldap_mod_replace,,function
ldap_modify,,function
ldap_mod_replace_ext,,function
ldap_mod_del,,function
ldap_mod_del_ext,,function
ldap_errno,,function
ldap_error,,function
ldap_err2str,,function
ldap_compare,,function
ldap_rename,,function
ldap_rename_ext,,function
ldap_get_option,,function
ldap_set_option,,function
ldap_count_references,,function
ldap_first_reference,,function
ldap_next_reference,,function
ldap_parse_reference,,function
ldap_parse_result,,function
ldap_set_rebind_proc,,function
ldap_start_tls,,function
ldap_escape,,function
ldap_exop,,function
ldap_exop_sync,,function
ldap_exop_passwd,,function
ldap_exop_whoami,,function
ldap_exop_refresh,,function
ldap_parse_exop,,function
mb_language,,function
mb_internal_encoding,,function
mb_http_input,,function
mb_http_output,,function
mb_detect_order,,function
mb_substitute_character,,function
mb_preferred_mime_name,,function
mb_parse_str,,function
mb_output_handler,,function
mb_str_split,,function
mb_strlen,,function
mb_strpos,,function
mb_strrpos,,function
mb_stripos,,function
mb_strripos,,function
mb_strstr,,function
mb_strrchr,,function
mb_stristr,,function
mb_strrichr,,function
mb_substr_count,,function
mb_substr,,function
mb_strcut,,function
mb_strwidth,,function
mb_strimwidth,,function
mb_convert_encoding,,function
mb_convert_case,,function
mb_strtoupper,,function
mb_strtolower,,function
mb_ucfirst,,function
mb_lcfirst,,function
mb_trim,,function
mb_ltrim,,function
mb_rtrim,,function
mb_detect_encoding,,function
mb_list_encodings,,function
mb_encoding_aliases,,function
mb_encode_mimeheader,,function
mb_decode_mimeheader,,function
mb_convert_kana,,function
mb_convert_variables,,function
mb_encode_numericentity,,function
mb_decode_numericentity,,function
mb_send_mail,,function
mb_get_info,,function
mb_check_encoding,,function
mb_scrub,,function
mb_ord,,function
mb_chr,,function
mb_str_pad,,function
mb_regex_encoding,,function
mb_ereg,,function
mb_eregi,,function
mb_ereg_replace,,function
mb_eregi_replace,,function
mb_ereg_replace_callback,,function
mb_split,,function
mb_ereg_match,,function
mb_ereg_search,,function
mb_ereg_search_pos,,function
mb_ereg_search_regs,,function
mb_ereg_search_init,,function
mb_ereg_search_getregs,,function
mb_ereg_search_getpos,,function
mb_ereg_search_setpos,,function
mb_regex_set_options,,function
set_time_limit,,function
header_register_callback,,function
ob_start,,function
ob_flush,,function
ob_clean,,function
ob_end_flush,,function
ob_end_clean,,function
ob_get_flush,,function
ob_get_clean,,function
ob_get_contents,,function
ob_get_level,,function
ob_get_length,,function
ob_list_handlers,,function
ob_get_status,,function
ob_implicit_flush,,function
output_reset_rewrite_vars,,function
output_add_rewrite_var,,function
stream_wrapper_register,,function
stream_register_wrapper,,function
stream_wrapper_unregister,,function
stream_wrapper_restore,,function
array_push,,function
krsort,,function
ksort,,function
count,,function
sizeof,,function
natsort,,function
natcasesort,,function
asort,,function
arsort,,function
sort,,function
rsort,,function
usort,,function
uasort,,function
uksort,,function
end,,function
